,deploy_num,halodule,saltmarsh,evenness,total_abund_sum,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_perimeter,oyster_core.area,oyster_perimeter,oyster_perim.area.ratio,habitat_total,dist2adjPatch,PerchAvgPresentNight
deploy_num,1,-0.21821789,0.516257504,-0.234451208,0.422241627,-0.15240686,0.032441912,-0.221708334,-0.524735239,-0.071841156,-0.00037105,-0.099814235,-0.006947488,-0.599373124
halodule,-0.21821789,1,-0.081936334,-0.224972407,0.141630088,0.080536628,0.276725175,-0.269548206,-0.454529797,-0.460619425,0.652534519,0.429545122,0.202264789,-0.232043947
saltmarsh,0.516257504,-0.081936334,1,-0.415752242,-0.163553261,-0.413620639,-0.319498192,-0.698919752,-0.354284318,-0.453812569,-0.357514677,-0.438905441,0.006240482,-0.345884118
evenness,-0.234451208,-0.224972407,-0.415752242,1,-0.443284365,-0.486406587,-0.143376046,0.490554749,-0.046669628,0.011742153,0.226585557,-0.174714154,0.473391206,-0.110069314
total_abund_sum,0.422241627,0.141630088,-0.163553261,-0.443284365,1,0.414494679,0.231807722,-0.225572086,-0.018277531,0.085522128,-0.043010115,0.215533014,-0.547548744,-0.314085879
seagrass_perimeter,-0.15240686,0.080536628,-0.413620639,-0.486406587,0.414494679,1,0.615266923,0.125023619,0.518331264,0.677692291,-0.032324922,0.678188093,-0.321264818,0.662053113
seagrass_perim.area.ratio,0.032441912,0.276725175,-0.319498192,-0.143376046,0.231807722,0.615266923,1,0.008670899,-0.135655004,0.144545214,0.476748596,0.358465915,-0.23929708,0.196630078
saltmarsh_perimeter,-0.221708334,-0.269548206,-0.698919752,0.490554749,-0.225572086,0.125023619,0.008670899,1,0.192833911,0.569754533,0.342132417,0.34421286,0.385565806,0.317124451
oyster_core.area,-0.524735239,-0.454529797,-0.354284318,-0.046669628,-0.018277531,0.518331264,-0.135655004,0.192833911,1,0.695294274,-0.666981327,0.158279646,-0.28061342,0.81454657
oyster_perimeter,-0.071841156,-0.460619425,-0.453812569,0.011742153,0.085522128,0.677692291,0.144545214,0.569754533,0.695294274,1,-0.246582645,0.581360716,0.093407042,0.713710363
oyster_perim.area.ratio,-0.00037105,0.652534519,-0.357514677,0.226585557,-0.043010115,-0.032324922,0.476748596,0.342132417,-0.666981327,-0.246582645,1,0.397504051,0.431090673,-0.298660621
habitat_total,-0.099814235,0.429545122,-0.438905441,-0.174714154,0.215533014,0.678188093,0.358465915,0.34421286,0.158279646,0.581360716,0.397504051,1,0.401732279,0.394317823
dist2adjPatch,-0.006947488,0.202264789,0.006240482,0.473391206,-0.547548744,-0.321264818,-0.23929708,0.385565806,-0.28061342,0.093407042,0.431090673,0.401732279,1,-0.035687004
PerchAvgPresentNight,-0.599373124,-0.232043947,-0.345884118,-0.110069314,-0.314085879,0.662053113,0.196630078,0.317124451,0.81454657,0.713710363,-0.298660621,0.394317823,-0.035687004,1
