site,avg_spl_low,avg_spl_high
C7,101.8691743,90.32767765
SG10,95.57126209,87.21736635
SG12,100.4876149,89.96851732
MF2,115.9397776,93.33811746
C2,111.7070478,109.238768
SG2,95.76049595,102.9810844
SG4,105.789676,101.2579679
MF1,109.6657496,91.66620377
CB,94.38571798,85.29814361
SB,91.67867866,99.80044353
SC,99.56533144,100.4578561
MFA,105.9340921,86.19623533
C8,90.1496371,89.83711549
SG6,94.97159576,103.7566804
SG9,93.76103334,98.60630358
MF7,103.1574991,94.79203333
C4,109.5554847,111.6868168
C5,108.2689966,112.7222561
S14,96.5755038,103.8626479
S15,98.51512057,105.7588521
C3,104.7069758,107.3387195
C6,94.14727241,95.68945881
SG1,101.108317,106.9943263
SG17,98.55484017,104.4535818
