site,AvgPresent,MaxRate,PercentPresence
C7,1.52173913043478,5,4.79166666666667
S10,3.20454545454545,9,9.16666666666667
S12,1.32142857142857,3,5.83333333333333
M2,2,4,2.91666666666667
C2,2.59731543624161,11,31.0416666666667
S2,1.42307692307692,3,9.02777777777778
S4,1.69281045751634,8,31.875
M1,2.39393939393939,8,6.875
CB,1.5,4,3.125
SB,1.18055555555556,2,7.5
SC,1.29508196721311,4,19.0625
MA,1,1,0.0946969696969697
C8,NaN,0,0
S6,1.2,2,1.73611111111111
S9,1.68269230769231,7,12.037037037037
M7,1,1,0.231481481481481
C4,1.92156862745098,7,26.5625
C5,1.8860103626943,7,33.5069444444444
S14,NaN,0,0
S15,NaN,0,0
C3,1,1,0.868055555555556
C6,1,1,0.694444444444444
S1,1.05555555555556,2,3.125
S17,2,2,0.173611111111111
