,deploy_num,saltmarsh,shannonD,richness_comb,total_cover,depth_m_avg,sal_avg,omnivore,soniferous_S,carn_2,herb_2,invertivore,omni_2,num_ops_tau,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_perim.area.ratio,oyster_perimeter,NNratio,dist2adjPatch,avg_temp,avg_spl_high
deploy_num,1,0.356182142,0.093050192,0.224661684,0.139769926,0.258768413,-0.566163634,0.378840514,0.310317965,0.155936461,-0.008986877,-0.147405328,0.198828011,-0.183140309,0.002467337,-0.141736427,0.051333039,0.127715141,0.028551136,-0.065393089,0.655712403,0.556571602
saltmarsh,0.356182142,1,0.120346541,0.588943085,-0.022703016,0.121415512,-0.235550769,-0.123046278,-0.427252466,-0.291924316,-0.168537196,-0.384679499,-0.014130017,-0.109495622,-0.272080948,-0.065572677,0.256657347,0.272267509,0.135470793,-0.142362423,0.079134797,0.09119469
shannonD,0.093050192,0.120346541,1,0.492996534,0.451520201,0.260943824,-0.014326068,-0.185823962,0.182444086,-0.06227003,0.049346996,0.145572408,-0.146028305,0.159297552,0.330216837,-0.100362495,0.092230728,0.198024167,0.536036676,-0.13331864,0.095360887,0.328616006
richness_comb,0.224661684,0.588943085,0.492996534,1,0.399433522,0.259294633,-0.181871977,0.086872232,-0.110151656,-0.101295311,-0.094724898,-0.038677253,0.150294308,-0.061541083,0.011162623,-0.043048709,0.300137826,0.564140709,0.281566015,-0.369753763,0.207385826,0.325353144
total_cover,0.139769926,-0.022703016,0.451520201,0.399433522,1,0.043001294,-0.119330074,0.123756506,0.520723055,0.327093534,0.359851426,0.554768325,0.041835837,0.024991493,0.660310308,-0.134706157,-0.255223137,0.161503715,-0.095881947,-0.116967793,0.387331799,0.538089356
depth_m_avg,0.258768413,0.121415512,0.260943824,0.259294633,0.043001294,1,-0.24130279,0.007526419,0.042164205,0.042562356,-0.116866062,-0.068740889,-0.192623061,0.090070475,0.047686448,-0.219569464,0.142889184,0.547605021,0.317908519,-0.106513533,0.121066943,0.423359846
sal_avg,-0.566163634,-0.235550769,-0.014326068,-0.181871977,-0.119330074,-0.24130279,1,-0.050142897,-0.221833221,0.195433614,0.244091405,0.209184931,0.033482199,-0.016264687,0.287422759,0.229668951,0.001911241,-0.192505052,0.007725181,-0.025690037,-0.048731789,-0.434018697
omnivore,0.378840514,-0.123046278,-0.185823962,0.086872232,0.123756506,0.007526419,-0.050142897,1,0.229257614,0.478803896,0.492372386,0.230685707,0.376996904,-0.085168498,0.209712695,0.066680911,0.015324204,0.096091159,-0.233934459,-0.1371433,0.355680484,0.174519091
soniferous_S,0.310317965,-0.427252466,0.182444086,-0.110151656,0.520723055,0.042164205,-0.221833221,0.229257614,1,0.55654823,0.177195473,0.57601407,0.312373918,0.146303901,0.3774557,-0.174447362,-0.299508047,-0.368981158,0.026725319,-0.144912075,0.427245826,0.3471258
carn_2,0.155936461,-0.291924316,-0.06227003,-0.101295311,0.327093534,0.042562356,0.195433614,0.478803896,0.55654823,1,0.582943614,0.676162669,0.331484012,-0.045886631,0.25633255,-0.089283563,0.079623968,-0.25653709,-0.040122122,-0.150792266,0.481376815,0.194883171
herb_2,-0.008986877,-0.168537196,0.049346996,-0.094724898,0.359851426,-0.116866062,0.244091405,0.492372386,0.177195473,0.582943614,1,0.536605896,0.073061652,0.037815826,0.491581339,-0.048367077,-0.028610641,-0.180700067,-0.140649487,0.118221832,0.305090712,0.026386539
invertivore,-0.147405328,-0.384679499,0.145572408,-0.038677253,0.554768325,-0.068740889,0.209184931,0.230685707,0.57601407,0.676162669,0.536605896,1,0.079954719,0.455181692,0.345763857,-0.126767424,-0.224126655,-0.316032505,-0.10472026,-0.128655985,0.370094243,0.183737286
omni_2,0.198828011,-0.014130017,-0.146028305,0.150294308,0.041835837,-0.192623061,0.033482199,0.376996904,0.312373918,0.331484012,0.073061652,0.079954719,1,-0.104596858,0.029084081,0.105517516,-0.18002127,-0.184105523,-0.224153765,-0.024018214,0.416930091,-0.090199688
num_ops_tau,-0.183140309,-0.109495622,0.159297552,-0.061541083,0.024991493,0.090070475,-0.016264687,-0.085168498,0.146303901,-0.045886631,0.037815826,0.455181692,-0.104596858,1,-0.026704558,0.030795044,-0.235773997,-0.11406113,0.076951935,-0.060553235,-0.015889919,0.061003167
seagrass_perimeter,0.002467337,-0.272080948,0.330216837,0.011162623,0.660310308,0.047686448,0.287422759,0.209712695,0.3774557,0.25633255,0.491581339,0.345763857,0.029084081,-0.026704558,1,0.15991002,-0.324674416,0.093300421,-0.057573801,-0.038872124,0.327236316,0.297251383
seagrass_perim.area.ratio,-0.141736427,-0.065572677,-0.100362495,-0.043048709,-0.134706157,-0.219569464,0.229668951,0.066680911,-0.174447362,-0.089283563,-0.048367077,-0.126767424,0.105517516,0.030795044,0.15991002,1,-0.080068044,0.147101938,-0.149182755,-0.353689691,-0.100191584,0.07697251
saltmarsh_perim.area.ratio,0.051333039,0.256657347,0.092230728,0.300137826,-0.255223137,0.142889184,0.001911241,0.015324204,-0.299508047,0.079623968,-0.028610641,-0.224126655,-0.18002127,-0.235773997,-0.324674416,-0.080068044,1,0.130382224,0.662191076,-0.41622079,-0.085144248,-0.191831483
oyster_perimeter,0.127715141,0.272267509,0.198024167,0.564140709,0.161503715,0.547605021,-0.192505052,0.096091159,-0.368981158,-0.25653709,-0.180700067,-0.316032505,-0.184105523,-0.11406113,0.093300421,0.147101938,0.130382224,1,0.061905086,-0.198580449,-0.020375881,0.553802452
NNratio,0.028551136,0.135470793,0.536036676,0.281566015,-0.095881947,0.317908519,0.007725181,-0.233934459,0.026725319,-0.040122122,-0.140649487,-0.10472026,-0.224153765,0.076951935,-0.057573801,-0.149182755,0.662191076,0.061905086,1,-0.38215483,-0.067552861,-0.066940083
dist2adjPatch,-0.065393089,-0.142362423,-0.13331864,-0.369753763,-0.116967793,-0.106513533,-0.025690037,-0.1371433,-0.144912075,-0.150792266,0.118221832,-0.128655985,-0.024018214,-0.060553235,-0.038872124,-0.353689691,-0.41622079,-0.198580449,-0.38215483,1,-0.15429966,-0.261552065
avg_temp,0.655712403,0.079134797,0.095360887,0.207385826,0.387331799,0.121066943,-0.048731789,0.355680484,0.427245826,0.481376815,0.305090712,0.370094243,0.416930091,-0.015889919,0.327236316,-0.100191584,-0.085144248,-0.020375881,-0.067552861,-0.15429966,1,0.446219863
avg_spl_high,0.556571602,0.09119469,0.328616006,0.325353144,0.538089356,0.423359846,-0.434018697,0.174519091,0.3471258,0.194883171,0.026386539,0.183737286,-0.090199688,0.061003167,0.297251383,0.07697251,-0.191831483,0.553802452,-0.066940083,-0.261552065,0.446219863,1
