,halodule,zostera,ruppia,algae,oyster,saltmarsh,other,richness,shannonD,richness_comb,comm_shannonD_sum,herbivore,omnivore,soniferous_S,num_bai_chr,num_ort_chr,num_ops_tau,seagrass_area,seagrass_perim.area.ratio,saltmarsh_perim.area.ratio,habitat_total,NNratio,dist2adjPatch,richness_landscape,avg_temp,avg_spl_low,avg_spl_high,BI_low,BI_high
halodule,1,0.46194773,0.297253753,0.219740598,-0.39009633,-0.452482644,-0.153738578,0.581981914,0.137620127,-0.107239982,0.484838472,0.080058475,0.094235045,0.708199269,0.659253532,0.733508727,0.080058475,0.579071345,-0.220471052,-0.292499625,-0.285238902,-0.18540435,0.033308996,-0.309597371,0.321878499,-0.492794399,0.152909778,-0.43327659,0.19383789
zostera,0.46194773,1,0.296929214,0.378304058,-0.270069895,-0.315386605,-0.127328688,0.411431084,0.298280933,-0.110691099,0.402138693,0.266688919,-0.01044477,0.500619213,0.447172849,0.56064571,0.266688919,0.535394412,0.011409443,-0.332493448,-0.109956281,-0.043085936,0.043240526,-0.208392056,0.214669743,-0.141655464,0.267626236,-0.222474897,0.292097181
ruppia,0.297253753,0.296929214,1,0.070175498,-0.14389834,-0.167327395,-0.070919408,0.386694094,0.555209546,-0.094044939,0.28329766,-0.066441963,-0.100841094,0.404538351,0.468178134,0.714631352,-0.066441963,0.612715422,-0.066491497,-0.242990383,0.10767944,0.130465125,-0.025793925,-0.088337356,0.100688501,-0.307911591,0.103024735,-0.072316366,0.236489543
algae,0.219740598,0.378304058,0.070175498,1,0.079984855,-0.174531442,-0.126383257,0.329479179,0.005930024,0.243889397,0.160552702,-0.015188163,-0.033362194,0.254015178,-0.010733571,0.031195159,-0.015188163,0.034482073,0.017619512,-0.137502344,0.106221978,-0.186890075,-0.238133883,0.002553923,0.077010443,-0.072442463,0.357555771,0.094094192,0.146696464
oyster,-0.39009633,-0.270069895,-0.14389834,0.079984855,1,0.199435495,-0.100509738,0.061999329,0.162042961,0.506479723,-0.173831352,-0.094164129,0.187416484,-0.331580913,-0.219213896,-0.293074149,-0.094164129,-0.08426574,0.196063745,0.089847182,0.698954596,0.036913825,-0.144276493,0.193815021,-0.047820412,0.439315417,0.44832179,0.766961817,-0.015148629
saltmarsh,-0.452482644,-0.315386605,-0.167327395,-0.174531442,0.199435495,1,0.159366938,0.070807511,0.120346541,0.588943085,-0.072553536,-0.109495622,-0.123046278,-0.427252466,-0.254601372,-0.341798802,-0.109495622,-0.324619799,-0.065572677,0.256657347,0.275293768,0.135470793,-0.142362423,0.228701064,0.079134797,-0.029843706,0.071254564,0.222826934,0.17798817
other,-0.153738578,-0.127328688,-0.070919408,-0.126383257,-0.100509738,0.159366938,1,0.030010787,-0.001755142,0.229908925,0.381067501,-0.046408209,0.039146437,-0.083065504,-0.106802083,-0.142666516,-0.046408209,-0.096287003,0.186720949,-0.136554846,0.450241937,-0.131474362,-0.026934584,0.15061384,0.112657353,-0.203767519,-0.383635717,-0.168092426,-0.395162006
richness,0.581981914,0.411431084,0.386694094,0.329479179,0.061999329,0.070807511,0.030010787,1,0.610076912,0.612870097,0.603621445,0.028116078,0.247650153,0.565648892,0.513941398,0.594499838,0.028116078,0.501787094,-0.16897729,-0.001187191,0.269231878,0.177390559,-0.31923662,0.013035472,0.408630681,-0.58543111,0.384450805,-0.010661422,0.346903834
shannonD,0.137620127,0.298280933,0.555209546,0.005930024,0.162042961,0.120346541,-0.001755142,0.610076912,1,0.492996534,0.1294077,0.159297552,-0.185823962,0.182444086,0.228317972,0.445947647,0.159297552,0.315824354,-0.100362495,0.092230728,0.362877377,0.536036676,-0.13331864,-0.022306497,0.095360887,-0.169396845,0.304820189,0.201257431,0.13228634
richness_comb,-0.107239982,-0.110691099,-0.094044939,0.243889397,0.506479723,0.588943085,0.229908925,0.612870097,0.492996534,1,0.202355996,-0.061541083,0.086872232,-0.110151656,-0.107448574,-0.142243946,-0.061541083,-0.152880692,-0.043048709,0.300137826,0.590871482,0.281566015,-0.369753763,0.199726277,0.207385826,-0.252455194,0.292654509,0.335707664,0.083406885
comm_shannonD_sum,0.484838472,0.402138693,0.28329766,0.160552702,-0.173831352,-0.072553536,0.381067501,0.603621445,0.1294077,0.202355996,1,-0.013099891,0.298068233,0.758659518,0.369969002,0.46285008,-0.013099891,0.412526177,-0.082552702,-0.19664575,0.104217529,-0.009728133,-0.192310706,0.043034445,0.41318747,-0.56335046,0.134024943,-0.254566534,0.185757557
herbivore,0.080058475,0.266688919,-0.066441963,-0.015188163,-0.094164129,-0.109495622,-0.046408209,0.028116078,0.159297552,-0.061541083,-0.013099891,1,-0.085168498,0.146303901,-0.103485626,0.156288452,1,-0.054777376,0.030795044,-0.235773997,-0.182764389,0.076951935,-0.060553235,-0.100789246,-0.015889919,0.151675733,0.051221964,-0.151621571,0.304720137
omnivore,0.094235045,-0.01044477,-0.100841094,-0.033362194,0.187416484,-0.123046278,0.039146437,0.247650153,-0.185823962,0.086872232,0.298068233,-0.085168498,1,0.229257614,0.35368206,0.152492482,-0.085168498,0.169171044,0.066680911,0.015324204,0.116928198,-0.233934459,-0.1371433,0.186558017,0.355680484,-0.182865483,0.175936606,0.038322853,0.305540772
soniferous_S,0.708199269,0.500619213,0.404538351,0.254015178,-0.331580913,-0.427252466,-0.083065504,0.565648892,0.182444086,-0.110151656,0.758659518,0.146303901,0.229257614,1,0.389487924,0.628901262,0.146303901,0.525465549,-0.174447362,-0.299508047,-0.207798598,0.026725319,-0.144912075,-0.059171685,0.427245826,-0.478193366,0.354360595,-0.252221939,0.36123747
num_bai_chr,0.659253532,0.447172849,0.468178134,-0.010733571,-0.219213896,-0.254601372,-0.106802083,0.513941398,0.228317972,-0.107448574,0.369969002,-0.103485626,0.35368206,0.389487924,1,0.835697304,-0.103485626,0.719989184,-0.120960396,-0.176119256,-0.036463226,-0.166926229,0.14112398,-0.250159649,0.337319913,-0.378198921,0.087955003,-0.282648177,0.202529159
num_ort_chr,0.733508727,0.56064571,0.714631352,0.031195159,-0.293074149,-0.341798802,-0.142666516,0.594499838,0.445947647,-0.142243946,0.46285008,0.156288452,0.152492482,0.628901262,0.835697304,1,0.156288452,0.808531432,-0.09450598,-0.33346311,-0.071563639,-0.005291688,0.045226623,-0.220281421,0.385420332,-0.408080852,0.202780218,-0.313204429,0.425378097
num_ops_tau,0.080058475,0.266688919,-0.066441963,-0.015188163,-0.094164129,-0.109495622,-0.046408209,0.028116078,0.159297552,-0.061541083,-0.013099891,1,-0.085168498,0.146303901,-0.103485626,0.156288452,1,-0.054777376,0.030795044,-0.235773997,-0.182764389,0.076951935,-0.060553235,-0.100789246,-0.015889919,0.151675733,0.051221964,-0.151621571,0.304720137
seagrass_area,0.579071345,0.535394412,0.612715422,0.034482073,-0.08426574,-0.324619799,-0.096287003,0.501787094,0.315824354,-0.152880692,0.412526177,-0.054777376,0.169171044,0.525465549,0.719989184,0.808531432,-0.054777376,1,-0.076044288,-0.301196436,0.13649735,0.042514271,-0.020884014,-0.06680586,0.365197895,-0.309053163,0.193591422,-0.165501373,0.304764036
seagrass_perim.area.ratio,-0.220471052,0.011409443,-0.066491497,0.017619512,0.196063745,-0.065572677,0.186720949,-0.16897729,-0.100362495,-0.043048709,-0.082552702,0.030795044,0.066680911,-0.174447362,-0.120960396,-0.09450598,0.030795044,-0.076044288,1,-0.080068044,0.203011606,-0.149182755,-0.353689691,0.493842093,-0.100191584,0.31900107,0.077596832,0.009639546,-0.223931841
saltmarsh_perim.area.ratio,-0.292499625,-0.332493448,-0.242990383,-0.137502344,0.089847182,0.256657347,-0.136554846,-0.001187191,0.092230728,0.300137826,-0.19664575,-0.235773997,0.015324204,-0.299508047,-0.176119256,-0.33346311,-0.235773997,-0.301196436,-0.080068044,1,-0.113454166,0.662191076,-0.41622079,0.506166029,-0.085144248,-0.182556989,-0.216752196,-0.03286708,-0.188288462
habitat_total,-0.285238902,-0.109956281,0.10767944,0.106221978,0.698954596,0.275293768,0.450241937,0.269231878,0.362877377,0.590871482,0.104217529,-0.182764389,0.116928198,-0.207798598,-0.036463226,-0.071563639,-0.182764389,0.13649735,0.203011606,-0.113454166,1,-0.027625337,-0.195370958,0.259432587,0.228299103,0.178824884,0.362050341,0.578149075,-0.096685832
NNratio,-0.18540435,-0.043085936,0.130465125,-0.186890075,0.036913825,0.135470793,-0.131474362,0.177390559,0.536036676,0.281566015,-0.009728133,0.076951935,-0.233934459,0.026725319,-0.166926229,-0.005291688,0.076951935,0.042514271,-0.149182755,0.662191076,-0.027625337,1,-0.38215483,0.29440319,-0.067552861,-0.197655133,-0.098577171,-0.042860664,0.028612055
dist2adjPatch,0.033308996,0.043240526,-0.025793925,-0.238133883,-0.144276493,-0.142362423,-0.026934584,-0.31923662,-0.13331864,-0.369753763,-0.192310706,-0.060553235,-0.1371433,-0.144912075,0.14112398,0.045226623,-0.060553235,-0.020884014,-0.353689691,-0.41622079,-0.195370958,-0.38215483,1,-0.80600867,-0.15429966,0.137105573,-0.234788036,-0.087746931,-0.149943432
richness_landscape,-0.309597371,-0.208392056,-0.088337356,0.002553923,0.193815021,0.228701064,0.15061384,0.013035472,-0.022306497,0.199726277,0.043034445,-0.100789246,0.186558017,-0.059171685,-0.250159649,-0.220281421,-0.100789246,-0.06680586,0.493842093,0.506166029,0.259432587,0.29440319,-0.80600867,1,0.212577577,0.049369606,0.193848346,0.150006722,0.032898108
avg_temp,0.321878499,0.214669743,0.100688501,0.077010443,-0.047820412,0.079134797,0.112657353,0.408630681,0.095360887,0.207385826,0.41318747,-0.015889919,0.355680484,0.427245826,0.337319913,0.385420332,-0.015889919,0.365197895,-0.100191584,-0.085144248,0.228299103,-0.067552861,-0.15429966,0.212577577,1,-0.487456848,0.428230529,-0.087640397,0.479999059
avg_spl_low,-0.492794399,-0.141655464,-0.307911591,-0.072442463,0.439315417,-0.029843706,-0.203767519,-0.58543111,-0.169396845,-0.252455194,-0.56335046,0.151675733,-0.182865483,-0.478193366,-0.378198921,-0.408080852,0.151675733,-0.309053163,0.31900107,-0.182556989,0.178824884,-0.197655133,0.137105573,0.049369606,-0.487456848,1,0.250414997,0.580585035,-0.154050685
avg_spl_high,0.152909778,0.267626236,0.103024735,0.357555771,0.44832179,0.071254564,-0.383635717,0.384450805,0.304820189,0.292654509,0.134024943,0.051221964,0.175936606,0.354360595,0.087955003,0.202780218,0.051221964,0.193591422,0.077596832,-0.216752196,0.362050341,-0.098577171,-0.234788036,0.193848346,0.428230529,0.250414997,1,0.593904049,0.462644576
BI_low,-0.43327659,-0.222474897,-0.072316366,0.094094192,0.766961817,0.222826934,-0.168092426,-0.010661422,0.201257431,0.335707664,-0.254566534,-0.151621571,0.038322853,-0.252221939,-0.282648177,-0.313204429,-0.151621571,-0.165501373,0.009639546,-0.03286708,0.578149075,-0.042860664,-0.087746931,0.150006722,-0.087640397,0.580585035,0.593904049,1,0.06564778
BI_high,0.19383789,0.292097181,0.236489543,0.146696464,-0.015148629,0.17798817,-0.395162006,0.346903834,0.13228634,0.083406885,0.185757557,0.304720137,0.305540772,0.36123747,0.202529159,0.425378097,0.304720137,0.304764036,-0.223931841,-0.188288462,-0.096685832,0.028612055,-0.149943432,0.032898108,0.479999059,-0.154050685,0.462644576,0.06564778,1
