site_code,NNratio,dist2adjPatch,adj_hab_type,richness_landscape,Site,minArea,NNzscore,NNpvalue,NNexpected,NNobserved,notes
C7,1.955688,171.01,oyster reef,2,C7,0,442.281686,0,1.304355,2.55091,removed area of land (unit m^2)
SG10,0.381841,400.96,seagrass,1,S10,1,-29.588195,0,44.706933,17.070926,
SG12,0.530039,178.92,seagrass,3,S12,1,-39.0862,0,30.569975,16.203284,
MF2,0.401961,202.3,saltmarsh,3,M2,1,-23.502653,0,57.719411,23.200931,
C2,0.635291,186.87,saltmarsh,3,C2,1,-77.42112,0,14.041997,8.920752,
SG2,0.496374,77.49,saltmarsh,3,S2,1,-41.518845,0,30.939739,15.357672,
SG4,0.880966,220.88,seagrass,2,S4,0,-29.842645,0,3.010157,2.651846,removed area of land (unit m^2)
MF1,0.565349,238.8,saltmarsh,3,M1,2,-9.873722,0,44.743465,25.295684,
CB,0.427931,296.07,seagrass,3,CB,1,-53.45823,0,28.665667,12.266926,
SB,0.614467,259.3,saltmarsh,2,SB,1,-36.943859,0,28.845952,17.724899,
SC,0.609476,908.091153,saltmarsh,1,SC,1,-67.60332,0,17.520039,10.678035,
MFA,0,2000,,0,MA,0,0,0,0,0,
C8,1.752124,184.19,seagrass,3,C8,0,397.017553,0,1.393686,2.441911,removed area of land (unit m^2)
SG6,0.501464,107.52,seagrass,3,S6,1,29.485247,0,20.744915,10.402834,
SG9,0.373866,176.63,seagrass,3,S9,1,-60.913386,0,30.945434,11.569432,
MF7,1.063792,284.27,seagrass,3,M7,0,20.595266,0,2.576092,2.740427,removed area of land (unit m^2)
C4,0.549376,501.38,seagrass,2,C4,1,-60.425236,0,21.384254,11.748001,
C5,0.476911,300.2,oyster reef,3,C5,1,-55.038786,0,25.473478,12.148592,
S14,0.307564,777.17,seagrass,1,S14,1,-27.083124,0,53.041694,16.313707,
S15,1.677055,171.7,oyster reef,3,S15,0,289.676781,0,1.965382,3.296054,removed area of land (unit m^2)
C3,0.63305,69.52,oyster reef,3,C3,1,-57.786309,0,16.872991,10.68144,
C6,0.870312,114.99,saltmarsh,3,C6,0,-35.275144,0,3.018097,2.626685,removed area of land (unit m^2)
SG1,0.40829,71.52,saltmarsh,3,S1,1,-63.693552,0,22.677665,9.259057,
SG17,0.908089,193.91,seagrass,3,S17,0,-77.761379,0,4.257725,2.589075,removed area of land (unit m^2)
